instance,ganak-approx_MCC2026
mc2026_track1_001.cnf,1.68124124
mc2026_track1_003.cnf,0.90308999
mc2026_track1_005.cnf,0.77815125
mc2026_track1_007.cnf,29.51136452
mc2026_track1_009.cnf,20.04407097
mc2026_track1_011.cnf,140.88203797
mc2026_track1_013.cnf,722.47198959
mc2026_track1_015.cnf,664.67423043
mc2026_track1_017.cnf,105.36723186
mc2026_track1_019.cnf,83.97714331
mc2026_track1_021.cnf,19.57812195
mc2026_track1_023.cnf,8.65249782
mc2026_track1_025.cnf,
mc2026_track1_027.cnf,0.60205999
mc2026_track1_029.cnf,
mc2026_track1_031.cnf,2.33243846
mc2026_track1_033.cnf,
mc2026_track1_035.cnf,7.21980502
mc2026_track1_037.cnf,6.09135598
mc2026_track1_039.cnf,11.44693689
mc2026_track1_041.cnf,20.75139733
mc2026_track1_043.cnf,11.86862660
mc2026_track1_045.cnf,10.50966940
mc2026_track1_047.cnf,
mc2026_track1_049.cnf,13.11162115
mc2026_track1_051.cnf,15.53064600
mc2026_track1_053.cnf,12.83427511
mc2026_track1_055.cnf,16.25561977
mc2026_track1_057.cnf,22.27621968
mc2026_track1_059.cnf,11.74016983
mc2026_track1_061.cnf,-inf
mc2026_track1_063.cnf,23.48033966
mc2026_track1_065.cnf,3.48657215
mc2026_track1_067.cnf,0.60205999
mc2026_track1_069.cnf,
mc2026_track1_071.cnf,10.40149341
mc2026_track1_073.cnf,3.35564305
mc2026_track1_075.cnf,9.83917434
mc2026_track1_077.cnf,12.08451189
mc2026_track1_079.cnf,13.48699213
mc2026_track1_081.cnf,
mc2026_track1_083.cnf,
mc2026_track1_085.cnf,
mc2026_track1_087.cnf,10.24374283
mc2026_track1_089.cnf,-inf
mc2026_track1_091.cnf,-inf
mc2026_track1_093.cnf,0.00000000
mc2026_track1_095.cnf,6.65356290
mc2026_track1_097.cnf,0.47712125
mc2026_track1_099.cnf,6.65356290
mc2026_track1_101.cnf,0.47712125
mc2026_track1_103.cnf,0.00000000
mc2026_track1_105.cnf,2.45939249
mc2026_track1_107.cnf,133.43255763
mc2026_track1_109.cnf,141.55621078
mc2026_track1_111.cnf,123.43394420
mc2026_track1_113.cnf,126.37770315
mc2026_track1_115.cnf,12.58720237
mc2026_track1_117.cnf,8.41378258
mc2026_track1_119.cnf,6.00000000
mc2026_track1_121.cnf,4.74149039
mc2026_track1_123.cnf,-inf
mc2026_track1_125.cnf,0.00000000
mc2026_track1_127.cnf,53.04871046
mc2026_track1_129.cnf,5.87625307
mc2026_track1_131.cnf,8.52642692
mc2026_track1_133.cnf,6.10134008
mc2026_track1_135.cnf,1.11394335
mc2026_track1_137.cnf,1.25527251
mc2026_track1_139.cnf,
mc2026_track1_141.cnf,
mc2026_track1_143.cnf,
mc2026_track1_145.cnf,0.00000000
mc2026_track1_147.cnf,4.81647993
mc2026_track1_149.cnf,0.60205999
mc2026_track1_151.cnf,4.81647993
mc2026_track1_153.cnf,0.77815125
mc2026_track1_155.cnf,20.49083333
mc2026_track1_157.cnf,124.09253639
mc2026_track1_159.cnf,
mc2026_track1_161.cnf,
mc2026_track1_163.cnf,
mc2026_track1_165.cnf,119.91757215
mc2026_track1_167.cnf,1.00000000
mc2026_track1_169.cnf,21.36873428
mc2026_track1_171.cnf,6.25581407
mc2026_track1_173.cnf,6.31801698
mc2026_track1_175.cnf,
mc2026_track1_177.cnf,
mc2026_track1_179.cnf,59.28110130
mc2026_track1_181.cnf,
mc2026_track1_183.cnf,
mc2026_track1_185.cnf,
mc2026_track1_187.cnf,8.12780988
mc2026_track1_189.cnf,
mc2026_track1_191.cnf,
mc2026_track1_193.cnf,
mc2026_track1_195.cnf,
mc2026_track1_197.cnf,
mc2026_track1_199.cnf,
