,instance,log10_count_fromsolver,prec,solver,configuration,solver_conf,job,count
0,mc2026_track1_001.cnf,1.6812,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,48
1,mc2026_track1_003.cnf,0.9031,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,8
2,mc2026_track1_005.cnf,0.7782,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,6
3,mc2026_track1_007.cnf,29.5114,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,324611962730585548414761330000
4,mc2026_track1_009.cnf,20.0441,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,110680464442257309696
5,mc2026_track1_011.cnf,140.8820,"['approx', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,762145642166990290864647761179972242614964091530466512755763697414193662314731987800187549971910153125602862112131534433344518351326401265664
6,mc2026_track1_013.cnf,722.4720,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,296476034789978134120813694105889196637143099477633324816082314536891061330578960717457630202115461307371403034595170935724489293025075877350504677578646496935046858594479715738345467364856518143562563193206102470734007555612914096207105269178488890947743301293297650838442152727760046517446830295902003198032258606113584103529903220339673080606794891142197240305184142245671365903090895689843737237511812085698333701706561779824300625327604726460130427583460035274205809575857633345902990376717064770455839258773171510507099132110028077728160266796559445408422233980009645488034469133404238749146357925975400309760081625787339024177663736163185805751165416483569137375444258463220131699965267987276097342929294919389413376
7,mc2026_track1_015.cnf,664.6742,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,47231357286853767522716755927596215561986116650661432804728678927314249532098526380077034785580457260247952241007887375273000474840328294138062827690568625295902758435629765020876675007650887240298461920809005107679471980423130606355155258698193159389560724524486703687418766300787462745455454840419015572190253146649400636972799438629962334231348365404499947909495159747380366091782990708788254353238300987924815581261908398640232974138357658032571267179157147109522541069514133699125447168383688965455196623597661591747482353177871522320071696622482801372011199249874325447348286802406804399292729136049684688723519643837248433295481915701800013423925974328672256
8,mc2026_track1_017.cnf,105.3672,"['approx', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,2329334531322575920387899440252526960267540070079984457146128105103798042604843360400294243649665892352000
9,mc2026_track1_019.cnf,83.9771,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,948731481813003893206929197567363893059348940398470365088269067920407148829343744000
10,mc2026_track1_021.cnf,19.5781,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,37854886389693351111
11,mc2026_track1_023.cnf,8.6525,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,449260070
12,mc2026_track1_025.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
13,mc2026_track1_027.cnf,0.6021,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,4
14,mc2026_track1_029.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
15,mc2026_track1_031.cnf,2.3324,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,215
16,mc2026_track1_033.cnf,,,ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,nan
17,mc2026_track1_035.cnf,7.2198,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,16588420
18,mc2026_track1_037.cnf,6.0914,"['exact', 'arb', 'int']",ganak-approx_MCC2026,ganak-approx_MCC2026,ganak-approx_MCC2026,2026-06-24_22,1234116
