,instance,solver_conf,benchmark,verdict,status,ftype,log10_count_fromsolver,log10_est_fromsolver,count,count_type,pac-guarantees_epsilon,pac-guarantees_delta,cputime,wall_time,memory,job,fail,file,instance_long,solver,decs,prec,configuration,stdout_file,runsolver_WCTIME,runsolver_CPUTIME,runsolver_CPUUSAGE,runsolver_MAXVM,runsolver_TIMEOUT,runsolver_MEMOUT,runsolver_RETCODE,runsolver_SIGNAL,sat,lprec,rank,log10_pre,precompute,vote_count,voters,disagreed,log10_from_count_solver,log10_expected,count_expected,log10_from_count_expected,withindiff,err_afct,corr
0,mc2026_track1_001.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,1.6812412373755872,1.68124124,48,exact_arb_int,0.0,2.11588983e-37,0.036,0.04,0,2026-06-24_22,,mc2026_track1_001.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_001.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance1/run1/stdout.log,0.0373381,0.035966,96.3252,0,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,1.681241237376,48,3,"d4,ganak,gpmc",False,1.6812412373759999999999999999999999999999999999999999999999999999999999999999999999999999996,1.6812412373755872,48,1.6812412373759999999999999999999999999999999999999999999999999999999999999999999999999999996,0,0.0,1.0
1,mc2026_track1_003.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,0.9030899869919436,0.903089987,8,exact_arb_int,0.0,0.0,0.0223,0.02,0,2026-06-24_22,,mc2026_track1_003.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_003.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance2/run1/stdout.log,0.023155,0.022318,96.3851,0,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,0.903089986992,8,3,"d4,ganak,gpmc",False,0.90308998699199999999999999999999999999999999999999999999999999999999999999999999999999999987,0.9030899869919436,8,0.90308998699199999999999999999999999999999999999999999999999999999999999999999999999999999987,0,0.0,1.0
2,mc2026_track1_005.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,0.7781512503836436,0.77815125,6,exact_arb_int,0.0,0.0,0.0268,0.03,0,2026-06-24_22,,mc2026_track1_005.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_005.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance3/run1/stdout.log,0.0278671,0.026787,96.1243,0,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,0.778151250384,6,3,"d4,ganak,gpmc",False,0.77815125038400000000000000000000000000000000000000000000000000000000000000000000000000000022,0.7781512503836436,6,0.77815125038400000000000000000000000000000000000000000000000000000000000000000000000000000022,0,0.0,1.0
3,mc2026_track1_007.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,29.511364520580017,29.5113645,324611962730585548414761330000,exact_arb_int,0.0,7.86747411e-28,7.2032,8.05,623828,2026-06-24_22,,mc2026_track1_007.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_007.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance4/run1/stdout.log,8.05371,7.20318,89.4392,623828,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,29.51136452058,324611962730585548414761330000,3,"d4,ganak,gpmc",False,29.511364520579999999999999999999999999999999999999999999999999999999999999999999999999999996,29.511364520580017,324611962730585548414761330000,29.511364520579999999999999999999999999999999999999999999999999999999999999999999999999999996,0,0.0,1.0
4,mc2026_track1_009.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,20.04407097287844,20.044071,110680464442257309696,exact_arb_int,0.0,2.41169123e-33,2.8542,3.37,782156,2026-06-24_22,,mc2026_track1_009.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_009.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance5/run1/stdout.log,3.37019,2.85419,84.6892,782156,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,20.044070972878,110680464442257309696,1,ganak,False,20.044070972878000000000000000000000000000000000000000000000000000000000000000000000000000004,20.04407097287844,110680464442257309696,20.044070972878000000000000000000000000000000000000000000000000000000000000000000000000000004,0,0.0,1.0
5,mc2026_track1_011.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,140.8820379707432,140.882038,762145642166990290864647761179972242614964091530466512755763697414193662314731987800187549971910153125602862112131534433344518351326401265664,approx_arb_int,0.8,0.2,1868.07,2014.05,7569020,2026-06-24_22,,mc2026_track1_011.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_011.cnf.xz,ganak-approx_MCC2026,sat,"['approx', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance6/run1/stdout.log,2014.05,1868.07,92.7519,7569020,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,,,0,,False,140.88203797074300000000000000000000000000000000000000000000000000000000000000000000000000001,140.8820379707432,762145642166990290864647761179972242614964091530466512755763697414193662314731987800187549971910153125602862112131534433344518351326401265664,140.88203797074300000000000000000000000000000000000000000000000000000000000000000000000000001,0,1.0,1.0
6,mc2026_track1_013.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,722.471989593555,722.47199,296476034789978134120813694105889196637143099477633324816082314536891061330578960717457630202115461307371403034595170935724489293025075877350504677578646496935046858594479715738345467364856518143562563193206102470734007555612914096207105269178488890947743301293297650838442152727760046517446830295902003198032258606113584103529903220339673080606794891142197240305184142245671365903090895689843737237511812085698333701706561779824300625327604726460130427583460035274205809575857633345902990376717064770455839258773171510507099132110028077728160266796559445408422233980009645488034469133404238749146357925975400309760081625787339024177663736163185805751165416483569137375444258463220131699965267987276097342929294919389413376,exact_arb_int,0.0,2.3425500500000002e-29,9.1809,10.17,524644,2026-06-24_22,,mc2026_track1_013.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_013.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance7/run1/stdout.log,10.1706,9.18086,90.269,524644,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,722.471989593555,296476034789978134120813694105889196637143099477633324816082314536891061330578960717457630202115461307371403034595170935724489293025075877350504677578646496935046858594479715738345467364856518143562563193206102470734007555612914096207105269178488890947743301293297650838442152727760046517446830295902003198032258606113584103529903220339673080606794891142197240305184142245671365903090895689843737237511812085698333701706561779824300625327604726460130427583460035274205809575857633345902990376717064770455839258773171510507099132110028077728160266796559445408422233980009645488034469133404238749146357925975400309760081625787339024177663736163185805751165416483569137375444258463220131699965267987276097342929294919389413376,3,"d4,ganak,gpmc",False,722.47198959355499999999999999999999999999999999999999999999999999999999999999999999999999993,722.471989593555,296476034789978134120813694105889196637143099477633324816082314536891061330578960717457630202115461307371403034595170935724489293025075877350504677578646496935046858594479715738345467364856518143562563193206102470734007555612914096207105269178488890947743301293297650838442152727760046517446830295902003198032258606113584103529903220339673080606794891142197240305184142245671365903090895689843737237511812085698333701706561779824300625327604726460130427583460035274205809575857633345902990376717064770455839258773171510507099132110028077728160266796559445408422233980009645488034469133404238749146357925975400309760081625787339024177663736163185805751165416483569137375444258463220131699965267987276097342929294919389413376,722.47198959355499999999999999999999999999999999999999999999999999999999999999999999999999993,0,0.0,1.0
7,mc2026_track1_015.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,664.6742304260705,664.67423,47231357286853767522716755927596215561986116650661432804728678927314249532098526380077034785580457260247952241007887375273000474840328294138062827690568625295902758435629765020876675007650887240298461920809005107679471980423130606355155258698193159389560724524486703687418766300787462745455454840419015572190253146649400636972799438629962334231348365404499947909495159747380366091782990708788254353238300987924815581261908398640232974138357658032571267179157147109522541069514133699125447168383688965455196623597661591747482353177871522320071696622482801372011199249874325447348286802406804399292729136049684688723519643837248433295481915701800013423925974328672256,exact_arb_int,0.0,2.35989307e-31,0.9412,1.29,517260,2026-06-24_22,,mc2026_track1_015.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_015.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance8/run1/stdout.log,1.28537,0.941194,73.2239,517260,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,664.67423042607,47231357286853767522716755927596215561986116650661432804728678927314249532098526380077034785580457260247952241007887375273000474840328294138062827690568625295902758435629765020876675007650887240298461920809005107679471980423130606355155258698193159389560724524486703687418766300787462745455454840419015572190253146649400636972799438629962334231348365404499947909495159747380366091782990708788254353238300987924815581261908398640232974138357658032571267179157147109522541069514133699125447168383688965455196623597661591747482353177871522320071696622482801372011199249874325447348286802406804399292729136049684688723519643837248433295481915701800013423925974328672256,3,"d4,ganak,gpmc",False,664.67423042607000000000000000000000000000000000000000000000000000000000000000000000000000018,664.6742304260705,47231357286853767522716755927596215561986116650661432804728678927314249532098526380077034785580457260247952241007887375273000474840328294138062827690568625295902758435629765020876675007650887240298461920809005107679471980423130606355155258698193159389560724524486703687418766300787462745455454840419015572190253146649400636972799438629962334231348365404499947909495159747380366091782990708788254353238300987924815581261908398640232974138357658032571267179157147109522541069514133699125447168383688965455196623597661591747482353177871522320071696622482801372011199249874325447348286802406804399292729136049684688723519643837248433295481915701800013423925974328672256,664.67423042607000000000000000000000000000000000000000000000000000000000000000000000000000018,0,0.0,1.0
8,mc2026_track1_017.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,105.36723186495126,105.367232,2329334531322575920387899440252526960267540070079984457146128105103798042604843360400294243649665892352000,approx_arb_int,0.8,0.2,1861.04,2009.21,2214780,2026-06-24_22,,mc2026_track1_017.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_017.cnf.xz,ganak-approx_MCC2026,sat,"['approx', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance9/run1/stdout.log,2009.21,1861.04,92.6254,2214780,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,,,0,,False,105.36723186495099999999999999999999999999999999999999999999999999999999999999999999999999997,105.36049847946104,2293498600504165482783263159157469338153826425591120222154315052768014439108054047569241723205358452736000,105.36049847946099999999999999999999999999999999999999999999999999999999999999999999999999997,-35835930818410437604636281095057622113713644488864234991813052335783603496789312831052520444307439616000,1.0156250100000000000000000000000000000000000000000000000000000000000000000000000000000000001,1.0
9,mc2026_track1_019.cnf,ganak-approx_MCC2026,Track1_MC_Public,OK,ok,mc,83.97714331203933,83.9771433,948731481813003893206929197567363893059348940398470365088269067920407148829343744000,exact_arb_int,0.0,8.80033846e-35,1.4023,1.99,584560,2026-06-24_22,,mc2026_track1_019.cnf,/projects/p_mcc/mc2026-track1-mc_competition/mc2026_track1_019.cnf.xz,ganak-approx_MCC2026,sat,"['exact', 'arb', 'int']",ganak-approx_MCC2026,../../../raw/step8_eval/barnard/mc2026_solvers/MC2026_Track1_Public/config7/instance10/run1/stdout.log,1.98991,1.40235,70.4731,584560,False,False,0,0,SATISFIABLE,"['approx', 'arb', 'int']",C: Approx,83.977143312039,948731481813003893206929197567363893059348940398470365088269067920407148829343744000,3,"d4,ganak,gpmc",False,83.977143312038999999999999999999999999999999999999999999999999999999999999999999999999999999,83.97714331203933,948731481813003893206929197567363893059348940398470365088269067920407148829343744000,83.977143312038999999999999999999999999999999999999999999999999999999999999999999999999999999,0,0.0,1.0
